object_id,right_ascension,declination
-670322140477390751,67.03221403412013,-47.73907511219575
-670322140477390751,67.03221403412013,-47.73907511219575
-670321765476739182,67.03217658242663,-47.67391823397788
-670321632476798891,67.03216325746276,-47.679889141210225
-670308710476729966,67.03087109943904,-47.67299662357768
-670308710476729966,67.03087109943904,-47.67299662357768
-670308710476729966,67.03087109943904,-47.67299662357768
-670308704477027480,67.03087049956729,-47.70274806023658
-670308704477027480,67.03087049956729,-47.70274806023658
-670308704477027480,67.03087049956729,-47.70274806023658
-670308704477027480,67.03087049956729,-47.70274806023658
-670305515476965683,67.03055155036176,-47.69656839428157
-670304854477390289,67.03048545675642,-47.73902899033994
-670304854477390289,67.03048545675642,-47.73902899033994
-670304854477390289,67.03048545675642,-47.73902899033994
-670304660477355994,67.03046602016482,-47.73559948156876
-670302381476597849,67.03023812780413,-47.65978499807244
-670302381476597849,67.03023812780413,-47.65978499807244
-670302381476597849,67.03023812780413,-47.65978499807244
-670297316477029062,67.02973165142178,-47.702906226913136
-670297316477029062,67.02973165142178,-47.702906226913136
-670297316477029062,67.02973165142178,-47.702906226913136
-670297316477029062,67.02973165142178,-47.702906226913136
-670297316477029062,67.02973165142178,-47.702906226913136
-670292067476813732,67.02920671227666,-47.6813732610863
-670292067476813732,67.02920671227666,-47.6813732610863
-670292067476813732,67.02920671227666,-47.6813732610863
-670292067476813732,67.02920671227666,-47.6813732610863
-670292067476813732,67.02920671227666,-47.6813732610863
-670288432476625371,67.0288432358774,-47.662537162304595
-670287791477014030,67.02877912664295,-47.701403017880786
-670287791477014030,67.02877912664295,-47.701403017880786
-670287791477014030,67.02877912664295,-47.701403017880786
-670284019477400208,67.02840198584036,-47.740020896621374
-670281027476831829,67.02810279294302,-47.68318296056248
-670281027476831829,67.02810279294302,-47.68318296056248
-670281027476831829,67.02810279294302,-47.68318296056248
-670281027476831829,67.02810279294302,-47.68318296056248
-670275684476905783,67.02756845957549,-47.690578341537005
-670275684476905783,67.02756845957549,-47.690578341537005
-670275684476905783,67.02756845957549,-47.690578341537005
-670275684476905783,67.02756845957549,-47.690578341537005
-670275684476905783,67.02756845957549,-47.690578341537005
-670264936476920830,67.02649362134493,-47.69208306517589
-670264936476920830,67.02649362134493,-47.69208306517589
-670264936476920830,67.02649362134493,-47.69208306517589
-670264936476920830,67.02649362134493,-47.69208306517589
-670264936476920830,67.02649362134493,-47.69208306517589
-670258911477022771,67.02589111009195,-47.702277118297374
-670258911477022771,67.02589111009195,-47.702277118297374
-670258911477022771,67.02589111009195,-47.702277118297374
-670252365476537051,67.0252365512277,-47.65370519130507
-670252365476537051,67.0252365512277,-47.65370519130507
-670252033476336992,67.0252033387964,-47.63369923604587
-670252033476336992,67.0252033387964,-47.63369923604587
-670245983476141019,67.02459837362176,-47.61410193499633
-670245983476141019,67.02459837362176,-47.61410193499633
-670245884476368870,67.02458849646595,-47.63688701843624
