object_id,right_ascension,declination,corner_1_ra,corner_1_dec,corner_3_ra,corner_3_dec,semimajor_axis,semiminor_axis,position_angle
-861556546086816217,86.15565466445506,-8.681621727298115,86.1551101168828,-8.682066371860612,86.15617746222644,-8.681176983145468,4.534537315368652,2.2843255119917294,64.26160606590727
-861553116086842109,86.15531167595952,-8.684210973853473,86.15494025850386,-8.684593881333157,86.15569855601625,-8.683787972786302,2.736881971359253,2.339158349529355,-4.909265986279713
-861547479086786330,86.15474795427782,-8.678633039749013,86.15426875667482,-8.679149290167855,86.15522349311877,-8.67784329272476,6.6119608879089355,3.4643536934920065,14.655610395114776
-861546201086797146,86.1546201558282,-8.679714658019357,86.15415579398756,-8.680177038940936,86.15519489763955,-8.679009887488574,4.352499961853027,2.731069639673118,42.757653374287486
-861544581086737122,86.15445814247914,-8.673712296934996,86.15410255100666,-8.674288061044273,86.15483245764719,-8.67292661641635,10.655732154846191,2.302610779024307,-6.682163352552997
-861543670086722976,86.15436708258117,-8.672297652269826,86.15390642771723,-8.672871387683347,86.15477694582226,-8.67175987116247,5.6055474281311035,2.612631637606779,-20.922145783968926
-861540982086597813,86.15409826803108,-8.659781386402914,86.15346306551879,-8.660676974991413,86.15450187038624,-8.659009826998888,9.456016540527344,5.063165587388567,-7.5760589251503445
-861540731086715863,86.1540731553715,-8.671586384691297,86.15345716194516,-8.672093553211734,86.1546368292686,-8.671120773181215,4.948133945465088,3.009675451032621,-73.44341296890676
-861536881086843866,86.15368812022996,-8.684386693440658,86.15336659396185,-8.68473195372063,86.1540125172892,-8.683981651349,3.1801536083221436,1.7977618696061242,1.2756206795971305
-861536764086651511,86.15367643833987,-8.665151131699291,86.1532916743538,-8.665537803798108,86.15404994410444,-8.664759668637576,2.1750271320343018,1.9920987236870764,-21.621612288350676
-861535877086774423,86.15358776322611,-8.677442365448751,86.1532575578825,-8.677870906685508,86.15393155489224,-8.677092812819312,3.0995898246765137,1.6550038188077068,21.971155399653753
-861535420086768247,86.15354206028802,-8.67682474672637,86.15314551467391,-8.677232013680786,86.15390376656558,-8.676370546594038,3.872077703475952,1.8410425485120254,27.914506650106784
-861534463086724295,86.15344633485962,-8.672429523704965,86.1530072054544,-8.672954312102922,86.15393394552714,-8.67189832111878,4.861189365386963,3.0795471057792647,-4.327396083992098
-861533707086821500,86.153370784795,-8.68215000135863,86.1528057324016,-8.682676375616555,86.15390111884689,-8.681675857594483,4.841166019439697,3.999750312932144,-57.69402535808846
-861530048086731961,86.15300485937172,-8.673196155811151,86.15238870979954,-8.67381531536537,86.15373683574514,-8.672564676555348,3.7716190814971924,3.376484636458028,-63.03994194752471
-861528593086569026,86.15285934978752,-8.656902693922502,86.15228428637334,-8.657565387622205,86.15343567205575,-8.656314843018354,3.0872392654418945,2.9071177165317197,-6.887505470291563
-861527478086871466,86.15274786210868,-8.687146675256269,86.15229754698778,-8.687703732454384,86.1531961800842,-8.686564422439792,6.430527687072754,2.7565775697084103,-13.663055271946089
-861525796086810356,86.15257960807612,-8.681035676434169,86.1518790017726,-8.681481553213255,86.15308682038132,-8.680564309792645,4.218887805938721,2.904426135173262,-86.9670909906194
-861525031086617345,86.15250317290047,-8.66173450328506,86.15194470109385,-8.662231788283334,86.15301192887073,-8.661231280633803,3.473578691482544,3.0765311294798217,-86.10707035485325
