object_id,right_ascension,declination,flag_vis,semimajor_axis,semimajor_axis_err,position_angle,position_angle_err,ellipticity,ellipticity_err
-861413194086635739,86.14131945404272,-8.663573995957794,0,1.0986301898956299,NaN,-3.702897310256958,NaN,0.5262401700019836,NaN
-861405378086627909,86.14053780477512,-8.66279095518281,0,1.3120558261871338,NaN,-22.327112197875977,NaN,0.11724093556404114,NaN
-861400118086757120,86.14001180215702,-8.675712013996433,0,1.168915867805481,NaN,39.45311737060547,NaN,0.047568634152412415,NaN
-861379192086729442,86.13791926603861,-8.672944292371911,0,1.3983752727508545,NaN,-6.183259010314941,NaN,0.10124614089727402,NaN
-861374031086743703,86.13740318581024,-8.674370301758405,0,1.4411351680755615,NaN,-22.50311851501465,NaN,0.020175442099571228,NaN
-861366727086301428,86.13667274833075,-8.6301428316727,0,3.12864089012146,NaN,-74.3186264038086,NaN,0.45755496621131897,NaN
-861365846086511945,86.13658461696939,-8.651194594493854,0,1.4727423191070557,NaN,-19.02931785583496,NaN,0.05750685930252075,NaN
-861355803086191483,86.13558030037548,-8.61914835231925,0,1.456540584564209,NaN,-0.11862017214298248,NaN,0.046820130199193954,NaN
-861355471086901958,86.13554715909079,-8.690195810872225,0,1.266442060470581,NaN,-61.467227935791016,NaN,0.03727018088102341,NaN
-861349444086306611,86.13494445332964,-8.630661118749503,0,1.280860424041748,NaN,-35.48598861694336,NaN,0.08892954140901566,NaN
-861339098087009706,86.13390989749477,-8.700970647535563,0,1.4039678573608398,NaN,9.799452781677246,NaN,0.05745675042271614,NaN
-861329992086923528,86.13299925695166,-8.692352817157941,2,3.6843814849853516,NaN,-23.018239974975586,NaN,0.4960952699184418,NaN
-861328779086927125,86.13287795243583,-8.692712573008276,2,1.4034875631332397,NaN,-26.13283348083496,NaN,0.25090673565864563,NaN
-861328467086924880,86.1328467693972,-8.692488043797571,2,2.7252323627471924,NaN,-18.550350189208984,NaN,0.41230180859565735,NaN
-861326677086927293,86.1326677802681,-8.69272935181188,2,4.343585014343262,NaN,18.23897361755371,NaN,0.3437327444553375,NaN
-861321234086969773,86.13212340679917,-8.696977349745268,0,1.8742495775222778,NaN,-43.17695236206055,NaN,0.1689506471157074,NaN
-861320530086904972,86.13205302081631,-8.690497257549163,0,1.7301174402236938,NaN,58.520050048828125,NaN,0.016214823350310326,NaN
-861317939086942840,86.13179399598778,-8.694284057721752,0,1.3486672639846802,NaN,79.7271728515625,NaN,0.19736526906490326,NaN
-861317463085783923,86.13174639283362,-8.578392302150133,0,1.7652231454849243,NaN,-5.338596343994141,NaN,0.6441762447357178,NaN
-861316511086897014,86.13165115810565,-8.689701431919747,0,1.132802963256836,NaN,-0.5009791851043701,NaN,0.13348020613193512,NaN
-861313215085890164,86.13132150030158,-8.589016497141563,0,0.9020647406578064,NaN,-11.643597602844238,NaN,0.13932009041309357,NaN
-861310241087003575,86.13102419427025,-8.700357558723152,0,5.558487415313721,NaN,61.550804138183594,NaN,0.5952082276344299,NaN
-861307702085901657,86.130770280012,-8.59016572671159,0,0.6849414706230164,NaN,-67.74639129638672,NaN,0.22316229343414307,NaN
-861307313087338799,86.13073138164025,-8.733879925524418,0,1.3770791292190552,NaN,-57.123291015625,NaN,0.040711794048547745,NaN
-861307138085776277,86.13071386940797,-8.57762776475595,0,1.3991366624832153,NaN,-31.718564987182617,NaN,0.21466922760009766,NaN
-861297993086999567,86.12979931149633,-8.699956781824099,0,6.136253356933594,NaN,65.67212677001953,NaN,0.39962151646614075,NaN
-861296730086937304,86.1296730991914,-8.693730496625989,2,1.804664969444275,NaN,2.4094724655151367,NaN,0.40205466747283936,NaN
-861296377086043636,86.12963776023425,-8.604363630394538,0,1.1257964372634888,NaN,11.913714408874512,NaN,0.1181524246931076,NaN
-861295766086938062,86.12957662169909,-8.693806269289333,2,1.3711073398590088,NaN,-54.17634201049805,NaN,0.4641832113265991,NaN
-861295068087109294,86.12950684553991,-8.710929492385505,2,1.6294537782669067,NaN,-16.27996826171875,NaN,0.5525047779083252,NaN
-861294457086939178,86.1294457187077,-8.693917885795408,2,2.29209303855896,NaN,31.23461151123047,NaN,0.5301581621170044,NaN
-861294356087112378,86.12943562178215,-8.71123784487343,2,2.1065640449523926,NaN,-32.47996520996094,NaN,0.6129493713378906,NaN
-861294053087110577,86.12940538994344,-8.711057738338809,2,2.096205472946167,NaN,25.612934112548828,NaN,0.598722517490387,NaN
-861293738086988351,86.12937382278794,-8.698835166935092,0,3.153315782546997,NaN,-63.481319427490234,NaN,0.2001766562461853,NaN
-861292949086940603,86.12929493100384,-8.694060328805095,2,2.0209949016571045,NaN,10.975896835327148,NaN,0.568414032459259,NaN
-861292608087113815,86.1292608764538,-8.711381542653756,2,3.864896774291992,NaN,-18.968082427978516,NaN,0.5001705884933472,NaN
