object_id,sersic_sersic_vis_radius,sersic_sersic_vis_radius_err,sersic_sersic_vis_axis_ratio,sersic_sersic_vis_axis_ratio_err,sersic_sersic_vis_index,sersic_sersic_vis_index_err
-861467306086030608,0.4864489436149597,NaN,0.8760359287261963,NaN,1.0,NaN
-861467174085684376,0.2478092610836029,NaN,0.6641174554824829,NaN,1.0,NaN
-861467101087078770,0.34866422414779663,7.516336882011929E-22,0.7834360003471375,NaN,1.0,NaN
-861466919086842755,0.4894014000892639,NaN,0.47690504789352417,NaN,1.0,8.008288352287952E-16
-861466457085916446,0.4401138126850128,8.39617886125676E-29,0.8248229622840881,NaN,0.9999756217002869,6.673071804001677E-17
-861465938086721370,8.566985130310059,0.0,1.0,NaN,5.5,NaN
-861465915085691870,0.6074484586715698,NaN,0.566457986831665,NaN,1.0,NaN
-861465677085859092,0.2286059558391571,6.073642688777031E-23,0.9402793645858765,NaN,1.0,3.0933020034318304E-10
-861465659086559064,0.2983497083187103,4.053418780439098E-25,0.4637793302536011,NaN,1.0,NaN
-861465241085710177,0.2542453706264496,1.695918326716322E-20,0.5851213932037354,NaN,1.0,1.8689047465159092E-7
-861465061086925941,0.26195868849754333,NaN,0.8065325617790222,NaN,1.0,3.3365779757155156E-15
