lens,,source1,,source2,
X,Y,X,Y,X,Y
0.0005996620117761919,0.14461304521353258,0.029352084398418632,0.020166529979914083,0.029581004821938373,0.10589722858805684
0.024520539129123553,0.21217204060267836,0.12736849438617537,0.03462648087514486,0.12769957764333206,0.15861716068031018
0.04340057763435079,0.27777921190201726,0.2253899494521363,0.050975813557883054,0.22581436665607235,0.209920056431933
0.056902836048872474,0.33082695320588407,0.3234189721354037,0.07015921892188226,0.31947618045527193,0.2614330796907647
0.07935784850139982,0.40098239178652095,0.42147132830536593,0.0980810150531024,0.4042429468019544,0.31744952193812703
0.09740325239178416,0.48758876882281466,0.5195268376492059,0.12718367480151493,0.4890111776227266,0.3740144097321405
0.11546715490225101,0.5811228790799681,0.6176044192101897,0.16455237987027171,0.5782388091246966,0.4327755076566455
0.13355186836031052,0.6824506892105895,0.7156883071189288,0.2042828121734126,0.6674629721354015,0.4902376556022392
0.14896306875096066,0.7832574625833146,0.8137810239145256,0.24731966260469118,0.7611242814267807,0.5415617406823201
0.16975366786157364,0.8972298426083369,0.9118743713448976,0.2905926857594081,0.8592138450484996,0.5834177274964067
0.1650873909457875,0.8175584826245605,1.009960781792739,0.3312678089563026,0.9572781832791972,0.6158268053729568
0.18517273016575886,1.0009809025999277,1.1080408858928246,0.36958120491881274,1.0552775661280145,0.6239100927353507
0.2059647166728782,1.1154728626165142,1.2061014403148687,0.40057324645473247,1.1532592912031165,0.6253805438414692
0.20129843975709183,1.035801502632738,1.304148751406627,0.4266056607984454,1.2511741689920115,0.601816686263116
0.22405636711346855,1.219398572704958,1.4021739902812411,0.44437202982181434,1.3490789566244985,0.5744740651097484
0.24213067509773167,1.3168295328988453,1.5001784182082625,0.4543446989717155,1.446938969187922,0.5303631805922535
0.2601922652806883,1.4094976765033915,1.5981708640745487,0.45983008637628675,1.5447958285774683,0.4850714324575669
0.27735551622589294,1.4993076445655555,1.696138084549814,0.45586856484332183,1.6426331382889725,0.4324583298962894
0.2962674648507624,1.576865155670878,1.7941021518512008,0.45072617969316475,1.7404742318091302,0.3812622636756424
0.3142429208339601,1.6372760414657945,1.8920460388397708,0.43802626739297845,1.838325415485696,0.33384496103001005
0.3322166425715254,1.6970374522712557,1.9899886645587899,0.42485400964591546,1.936181013605691,0.2880808674484463
0.39915883931210994,1.7491499569477122,2.087917416312747,0.40648595198320736,2.0340492244211967,0.24704022833565098
0.4598004691161057,1.6654992705091418,2.1858442761623778,0.387409376150184,2.1319262641235603,0.20930600735099314
0.4842593445890593,1.5965817595844194,2.2837648296642525,0.36597107308277677,2.2298140246171068,0.1755867226647887
0.5090160478453396,1.5280107971836656,2.381682860627026,0.34358807912161593,2.3277162897104917,0.14729941061766705
0.5275377912028458,1.459436435661472,2.4795977384159213,0.3200242215432627,2.425624861151632,0.12137382580492995
0.5451802720245604,1.395148123480908,2.5775100936657145,0.2955156730711559,2.5235454146535066,0.09993552273752249
0.5583842401902532,1.336486166598407,2.675423079550283,0.2712432973224874,2.621471643868362,0.08062277418106101
0.5760342360763764,1.2750122460388176,2.7733348041653008,0.24649857612694248,2.7194092245091763,0.06556113464649083
0.5936680456699273,1.2074765589109755,2.8712515738585225,0.22364323671890474,2.8173493276890937,0.0514441860056738
0.6148397163542378,1.130590374290081,2.969168343551744,0.200787897310867,2.915301412929745,0.0418145191101873
0.6333423830097842,1.0548717878838754,3.0670895276883945,0.17958576696689788,3.013253498170397,0.032184852214700355
0.6509831295858659,0.9899340007138558,3.1650157569032498,0.16027301841043617,3.111216304202234,0.026570121617666365
0.668629078898846,0.9269446385122031,3.2629438780224316,0.14166878802428973,3.209178479599294,0.02071921829719403
0.6862750282118257,0.8639552763105507,3.3608770442198175,0.1249539394256507,3.307147591978885,0.017466214934544366
0.7039313829986023,0.8048627640456318,3.4588114716867544,0.10871143627388835,3.4051160737237014,0.013977038848455914
0.7215929405222767,0.74771867674908,3.5567534667709984,0.09530300580338658,3.5030902311814973,0.012613417273313665
0.7401410444134005,0.6890163350666114,3.654696092490017,0.08213074805632359,3.6010580822915372,0.008888068463786869
0.7657896123904038,0.6208788415809385,3.7526450245567915,0.0713202175436447,3.699036023557986,0.008941483229274683
0.7967787319851967,0.5513587149837569,3.8505964791626672,0.06145437792471942,3.797013964824435,0.008994897994762718
0.8307070510783328,0.47066923719719567,3.9485523482119724,0.05324174736986298,3.894985599743129,0.006686585525866651
0.8720803710563827,0.39838368251406986,4.046511370435156,0.046209980432198705,3.9929629103748026,0.006503827567916121
0.929790284894705,0.3287049302496814,4.144472915197441,0.04012290438828803,4.0909408516412515,0.006557242333403934
0.9400450444872606,0.2774639260459877,4.242437613133602,0.03521669196156929,4.1889187929077005,0.00661065709889197
0.985901224259655,0.21616001936659313,4.340404833608868,0.031255170428604595,4.286890427826394,0.004302344629995902
1.0406652328498547,0.15513931499902256,4.438373315353683,0.027765994342516143,4.384867738458068,0.004119586672045372
1.1162183270272061,0.09633421978834389,4.536343689002826,0.024985336426743165,4.482845679724517,0.004173001437533408
1.2140840153036099,0.054348889781795195,4.634314062651969,0.022204678510969966,4.580823620990966,0.0042264162030212216
1.3120045688054847,0.032910586714387735,4.732285697570662,0.01989636604207412,4.678801562257414,0.004279830968509257
1.4099421494462996,0.01784894717981733,4.830263638837111,0.019949780807561934,4.776779503523863,0.004333245733997071
1.5079005410347068,0.010581007518714491,4.892608613169831,0.018251838716748514,4.8658503592206355,0.004381804611713447
1.6058753291272783,0.009453558667010364,,,,
1.7038419189677676,0.005255864410607103,,,,
1.7712708115276612,0.00655735079825126,,,,
